Abruzzo,Basilicata,Calabria,Campania,Emilia-Romagna,Friuli Venezia Giulia,Lazio,Liguria,Lombardia,Marche,Molise,P.A. Bolzano,P.A. Trento,Piemonte,Puglia,Sardegna,Sicilia,Toscana,Umbria,Valle d'Aosta,Veneto
464.0,27.0,97.0,432.0,4269.0,345.0,842.0,1558.0,16713.0,987.0,23.0,292.0,405.0,4107.0,546.0,134.0,282.0,1116.0,80.0,146.0,2034.0
464.0,27.0,97.0,432.0,4269.0,345.0,842.0,1558.0,16725.0,987.0,23.0,292.0,405.0,4107.0,546.0,134.0,283.0,1118.0,80.0,146.0,2034.0
464.0,27.0,97.0,432.0,4269.0,345.0,843.0,1558.0,16730.0,987.0,23.0,292.0,405.0,4108.0,546.0,134.0,283.0,1120.0,80.0,146.0,2037.0
464.0,27.0,97.0,432.0,4269.0,345.0,844.0,1558.0,16736.0,987.0,23.0,292.0,405.0,4110.0,546.0,134.0,283.0,1121.0,80.0,146.0,2039.0
464.0,27.0,97.0,432.0,4269.0,345.0,844.0,1559.0,16740.0,987.0,23.0,292.0,405.0,4111.0,546.0,134.0,283.0,1122.0,80.0,146.0,2039.0
465.0,27.0,97.0,432.0,4269.0,345.0,844.0,1559.0,16748.0,987.0,23.0,292.0,405.0,4111.0,546.0,134.0,283.0,1122.0,80.0,146.0,2039.0
466.0,27.0,97.0,432.0,4269.0,345.0,845.0,1559.0,16757.0,987.0,23.0,292.0,405.0,4112.0,547.0,134.0,283.0,1122.0,80.0,146.0,2039.0
467.0,27.0,97.0,432.0,4271.0,345.0,846.0,1561.0,16760.0,987.0,23.0,292.0,405.0,4115.0,547.0,134.0,283.0,1125.0,80.0,146.0,2041.0
467.0,27.0,97.0,432.0,4271.0,345.0,847.0,1561.0,16765.0,987.0,23.0,292.0,405.0,4118.0,547.0,134.0,283.0,1127.0,80.0,146.0,2043.0
468.0,27.0,97.0,432.0,4271.0,345.0,848.0,1564.0,16775.0,987.0,23.0,292.0,405.0,4118.0,548.0,134.0,283.0,1127.0,80.0,146.0,2047.0
468.0,27.0,97.0,433.0,4273.0,345.0,849.0,1565.0,16778.0,987.0,23.0,292.0,405.0,4119.0,548.0,134.0,283.0,1129.0,80.0,146.0,2047.0
468.0,27.0,97.0,433.0,4274.0,345.0,850.0,1565.0,16788.0,987.0,23.0,292.0,405.0,4119.0,548.0,134.0,283.0,1129.0,80.0,146.0,2049.0
