Abruzzo,Basilicata,Calabria,Campania,Emilia-Romagna,Friuli Venezia Giulia,Lazio,Liguria,Lombardia,Marche,Molise,P.A. Bolzano,P.A. Trento,Piemonte,Puglia,Sardegna,Sicilia,Toscana,Umbria,Valle d'Aosta,Veneto
60.0,1.0,18.0,58.0,170.0,16.0,299.0,72.0,1733.0,19.0,1.0,10.0,2.0,422.0,35.0,10.0,27.0,36.0,7.0,5.0,34.0
54.0,1.0,18.0,50.0,156.0,16.0,285.0,69.0,1597.0,14.0,2.0,4.0,2.0,385.0,32.0,10.0,26.0,30.0,7.0,4.0,31.0
52.0,1.0,18.0,49.0,151.0,17.0,286.0,64.0,1455.0,13.0,2.0,4.0,1.0,375.0,33.0,9.0,26.0,31.0,7.0,4.0,28.0
53.0,1.0,17.0,42.0,143.0,16.0,286.0,61.0,1313.0,14.0,2.0,5.0,0.0,375.0,33.0,9.0,26.0,28.0,5.0,4.0,29.0
52.0,1.0,15.0,40.0,141.0,15.0,224.0,59.0,1098.0,13.0,3.0,5.0,0.0,365.0,33.0,9.0,26.0,27.0,5.0,4.0,30.0
49.0,1.0,9.0,47.0,133.0,14.0,200.0,62.0,961.0,11.0,3.0,4.0,0.0,348.0,32.0,7.0,22.0,26.0,5.0,3.0,31.0
43.0,1.0,9.0,35.0,129.0,13.0,194.0,60.0,740.0,12.0,2.0,4.0,0.0,352.0,29.0,7.0,22.0,31.0,4.0,3.0,27.0
34.0,1.0,10.0,47.0,125.0,12.0,193.0,57.0,670.0,10.0,2.0,4.0,1.0,331.0,27.0,6.0,22.0,30.0,4.0,2.0,30.0
32.0,1.0,9.0,42.0,121.0,13.0,198.0,57.0,548.0,10.0,1.0,4.0,1.0,321.0,27.0,5.0,22.0,27.0,3.0,2.0,17.0
33.0,1.0,9.0,45.0,117.0,12.0,198.0,52.0,458.0,9.0,0.0,5.0,2.0,315.0,27.0,6.0,24.0,20.0,3.0,2.0,19.0
30.0,1.0,4.0,39.0,120.0,12.0,200.0,51.0,366.0,9.0,0.0,4.0,2.0,317.0,27.0,6.0,25.0,22.0,3.0,3.0,17.0
30.0,1.0,4.0,20.0,123.0,12.0,203.0,50.0,364.0,9.0,0.0,3.0,1.0,294.0,28.0,6.0,24.0,20.0,3.0,3.0,18.0
33.0,1.0,4.0,29.0,120.0,9.0,202.0,49.0,339.0,8.0,0.0,4.0,1.0,279.0,25.0,6.0,22.0,23.0,4.0,4.0,21.0
32.0,0.0,4.0,16.0,114.0,6.0,202.0,45.0,318.0,8.0,0.0,4.0,1.0,271.0,24.0,5.0,21.0,18.0,4.0,2.0,17.0
28.0,0.0,4.0,15.0,105.0,6.0,199.0,44.0,282.0,8.0,0.0,3.0,1.0,259.0,24.0,7.0,20.0,14.0,4.0,2.0,20.0
27.0,0.0,4.0,35.0,96.0,6.0,199.0,43.0,282.0,6.0,0.0,3.0,2.0,245.0,21.0,6.0,18.0,16.0,4.0,3.0,19.0
28.0,0.0,3.0,37.0,96.0,6.0,208.0,41.0,267.0,5.0,0.0,3.0,2.0,234.0,21.0,6.0,17.0,13.0,4.0,3.0,17.0
30.0,0.0,3.0,36.0,97.0,7.0,210.0,46.0,266.0,5.0,0.0,3.0,2.0,235.0,20.0,4.0,15.0,14.0,4.0,4.0,18.0
30.0,0.0,4.0,42.0,99.0,9.0,212.0,46.0,269.0,5.0,0.0,3.0,3.0,219.0,18.0,3.0,16.0,14.0,4.0,4.0,18.0
28.0,0.0,4.0,48.0,108.0,7.0,215.0,38.0,265.0,5.0,0.0,3.0,3.0,218.0,12.0,5.0,12.0,13.0,3.0,4.0,19.0
27.0,1.0,4.0,36.0,109.0,8.0,211.0,37.0,245.0,5.0,0.0,6.0,3.0,213.0,14.0,3.0,7.0,14.0,3.0,4.0,20.0
26.0,2.0,4.0,45.0,106.0,2.0,211.0,35.0,232.0,5.0,0.0,6.0,1.0,203.0,14.0,3.0,6.0,13.0,3.0,4.0,19.0
26.0,3.0,4.0,44.0,106.0,2.0,210.0,26.0,217.0,4.0,0.0,6.0,1.0,202.0,13.0,3.0,6.0,11.0,4.0,4.0,17.0
25.0,3.0,4.0,47.0,103.0,1.0,211.0,26.0,202.0,4.0,0.0,6.0,2.0,199.0,12.0,3.0,6.0,10.0,4.0,2.0,23.0
22.0,3.0,4.0,13.0,103.0,2.0,209.0,25.0,191.0,4.0,1.0,6.0,2.0,199.0,12.0,3.0,5.0,11.0,4.0,2.0,23.0
19.0,3.0,4.0,16.0,102.0,3.0,202.0,24.0,198.0,4.0,1.0,6.0,2.0,189.0,10.0,3.0,6.0,10.0,4.0,2.0,25.0
19.0,3.0,5.0,17.0,102.0,4.0,198.0,23.0,203.0,4.0,1.0,6.0,2.0,184.0,10.0,4.0,4.0,10.0,4.0,3.0,31.0
17.0,3.0,5.0,52.0,97.0,5.0,200.0,24.0,200.0,4.0,1.0,6.0,1.0,171.0,10.0,4.0,4.0,12.0,5.0,1.0,32.0
17.0,3.0,5.0,24.0,97.0,7.0,184.0,28.0,187.0,4.0,1.0,6.0,1.0,165.0,11.0,4.0,6.0,14.0,5.0,1.0,33.0
17.0,3.0,6.0,50.0,95.0,7.0,184.0,29.0,181.0,4.0,1.0,6.0,0.0,156.0,12.0,5.0,9.0,13.0,6.0,2.0,35.0
15.0,3.0,5.0,45.0,93.0,7.0,183.0,28.0,171.0,3.0,1.0,6.0,0.0,156.0,14.0,7.0,14.0,13.0,6.0,2.0,35.0
14.0,2.0,4.0,34.0,89.0,7.0,189.0,27.0,170.0,3.0,1.0,6.0,0.0,158.0,14.0,7.0,12.0,12.0,6.0,2.0,35.0
13.0,2.0,3.0,32.0,97.0,7.0,184.0,28.0,172.0,3.0,1.0,6.0,1.0,156.0,14.0,7.0,12.0,10.0,6.0,1.0,37.0
12.0,2.0,3.0,34.0,91.0,7.0,184.0,29.0,172.0,3.0,1.0,6.0,1.0,150.0,11.0,7.0,12.0,12.0,6.0,1.0,37.0
9.0,2.0,3.0,30.0,88.0,8.0,183.0,31.0,166.0,3.0,1.0,6.0,2.0,152.0,11.0,7.0,13.0,13.0,6.0,1.0,37.0
10.0,2.0,3.0,36.0,85.0,8.0,189.0,29.0,156.0,3.0,0.0,6.0,2.0,150.0,11.0,7.0,13.0,15.0,6.0,1.0,30.0
13.0,2.0,3.0,19.0,83.0,11.0,193.0,26.0,161.0,3.0,0.0,6.0,2.0,152.0,11.0,7.0,13.0,14.0,7.0,1.0,32.0
